codigo_atv,nombre_atv,codigo_tribu,nombre_tribu
271001,INDUSTRIAS BASICAS DE HIERRO Y ACERO,2410.0,Industrias básicas de hierro y acero
272001,FABRICACION DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS,2420.0,Fabricación de productos primarios de metales preciosos y metales no ferrosos
273101,FUNDICION DE HIERRO Y ACERO,2431.0,Fundición de hierro y acero
273201,FUNDICION DE METALES NO FERROSOS,2432.0,Fundición de metales no ferrosos
281101,FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL,2511.0,Fabricación de productos metálicos para uso estructural
281201,FABRICACION DE TANQUES DEPOSITOS Y RECIPIENTES DE METAL,2512.0,Fabricación de tanques depósitos y recipientes de metal
281301,FABRICACION GENERADORES DE VAPOR EXCEPTO CALDERAS DE AGUA CALIENTE PARA CALEFACION CENTRAL,2513.0,Fabricación de los generadores del vapor excepto calderas de agua caliente para calefacción central
292701,FABRICACION DE ARMAS Y MUNICIONES,2520.0,Fabricación de armas y municiones
322001,FABRICACION DE TRANSMISORES Y RECEPTORES DE RADIO Y TELEVISION,2630.0,Fabricación de equipos de comunicaciones
331201,FABRICACION DE EQUIPOS PARA MEDIR VERIFICAR Y NAVEGAR Y DE EQUIPOS DE CONTROL,2651.0,Fabricación de equipos de medición prueba verificación navegación y de equipo de control
333001,FABRICACION DE RELOJES DE TODO TIPO,2652.0,Fabricación de relojes
332001,FABRICACION DE INSTRUMENTOS OPTICOS Y EQUIPO FOTOGRAFICO,2670.0,Fabricación de instrumentos ópticos de equipo fotográfico
314001,FABRICACION DE PILAS BATERIAS Y ACUMULADORES,2720.0,Fabricación de baterias y acumuladores
313001,FABRICACION DE HILOS Y CABLES AISLADOS,2732.0,Fabricación de otros hilos y cables eléctricos
315001,FABRICACION DE LAMPARAS ELECTRICAS Y EQUIPO DE ILUMINACION,2740.0,Fabricación de equipos de iluminación eléctricos
293001,FABRICACION DE APARATOS DE USO DOMESTICO N.C.P.,2750.0,Fabricación de aparatos de uso doméstico
319001,FABRICACION DE OTROS TIPOS DE EQUIPO ELECTRICO N.C.P.,2790.0,Fabricación de otro equipo eléctrico
291101,FABRICACION DE MOTORES Y TURBINAS EXCEPTO MOTORES PARA AERONAVES VEHICULOS AUTOMOTORES Y MOTOCICLETAS,2811.0,Fabricación de motores y turbinas excepto motores para aeronaves vehículos automotores y motociclet
291201,FABRICACION DE BOMBAS COMPRESORES GRIFOS Y VALVULAS,2813.0,Fabricación de otras bombas compresores grifos y válvulas
